,State,FIPS,Food Insecurity Rate,Number of Food Insecure Persons,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,Weighted Annual Food Budget Shortfall,Cost Per Meal,Child food insecurity rate,Number of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Year
1495,MO,29025.0,0.15,1410.0,1.3,SNAP,1.85,Other Nutrition Program,0.503,0.276,0.221,574670.0,2.5,0.237,560.0,0.794,0.206,2011
1496,MO,29027.0,0.131,5750.0,1.3,SNAP,1.85,Other Nutrition Program,0.384,0.215,0.401,2446630.0,2.61,0.187,1880.0,0.696,0.304,2011
1497,MO,29029.0,0.146,6380.0,1.3,SNAP,1.85,Other Nutrition Program,0.497,0.227,0.277,2818710.0,2.71,0.272,2270.0,0.817,0.183,2011
1498,MO,29031.0,0.15,11230.0,1.3,SNAP,1.85,Other Nutrition Program,0.453,0.207,0.34,4522070.0,2.47,0.203,3340.0,0.66,0.34,2011
1499,MO,29033.0,0.144,1350.0,1.3,SNAP,1.85,Other Nutrition Program,0.437,0.26,0.303,510600.0,2.32,0.206,450.0,0.653,0.347,2011
1500,MO,29035.0,0.165,1020.0,1.3,SNAP,1.85,Other Nutrition Program,0.707,0.293,0.0,379140.0,2.28,0.266,400.0,1.0,0.0,2011
1501,MO,29037.0,0.126,12460.0,1.3,SNAP,1.85,Other Nutrition Program,0.308,0.184,0.508,4834550.0,2.38,0.188,4940.0,0.526,0.474,2011
1502,MO,29039.0,0.151,2120.0,1.3,SNAP,1.85,Other Nutrition Program,0.697,0.285,0.017,767270.0,2.22,0.252,810.0,0.921,0.079,2011
1503,MO,29041.0,0.141,1100.0,1.3,SNAP,1.85,Other Nutrition Program,0.479,0.182,0.339,407080.0,2.27,0.206,360.0,0.615,0.385,2011
1504,MO,29043.0,0.127,9630.0,1.3,SNAP,1.85,Other Nutrition Program,0.408,0.284,0.308,4191780.0,2.67,0.192,3990.0,0.705,0.295,2011
1505,MO,29045.0,0.142,1010.0,1.3,SNAP,1.85,Other Nutrition Program,0.481,0.207,0.311,360600.0,2.19,0.234,400.0,0.66,0.34,2011
1506,MO,29047.0,0.13,28340.0,1.3,SNAP,1.85,Other Nutrition Program,0.326,0.178,0.496,10949870.0,2.37,0.174,9790.0,0.537,0.463,2011
1507,MO,29049.0,0.142,2950.0,1.3,SNAP,1.85,Other Nutrition Program,0.339,0.234,0.427,1356230.0,2.82,0.203,1050.0,0.686,0.314,2011
1508,MO,29051.0,0.142,10680.0,1.3,SNAP,1.85,Other Nutrition Program,0.397,0.19,0.413,4387660.0,2.52,0.175,3120.0,0.66,0.34,2011
1509,MO,29053.0,0.152,2670.0,1.3,SNAP,1.85,Other Nutrition Program,0.448,0.168,0.383,1105620.0,2.54,0.22,870.0,0.688,0.312,2011
1510,MO,29055.0,0.156,3860.0,1.3,SNAP,1.85,Other Nutrition Program,0.574,0.295,0.131,1780880.0,2.83,0.241,1470.0,0.865,0.135,2011
1511,MO,29057.0,0.158,1250.0,1.3,SNAP,1.85,Other Nutrition Program,0.614,0.275,0.111,497230.0,2.44,0.268,480.0,0.836,0.164,2011
1512,MO,29059.0,0.16,2700.0,1.3,SNAP,1.85,Other Nutrition Program,0.557,0.223,0.22,1087230.0,2.47,0.272,1130.0,0.784,0.216,2011
1513,MO,29061.0,0.143,1190.0,1.3,SNAP,1.85,Other Nutrition Program,0.56,0.246,0.194,473370.0,2.44,0.22,490.0,0.839,0.161,2011
1514,MO,29063.0,0.146,1870.0,1.3,SNAP,1.85,Other Nutrition Program,0.285,0.243,0.472,740810.0,2.43,0.179,410.0,0.675,0.325,2011
1515,MO,29065.0,0.157,2440.0,1.3,SNAP,1.85,Other Nutrition Program,0.628,0.219,0.153,958670.0,2.41,0.257,910.0,0.855,0.145,2011
1516,MO,29067.0,0.154,2110.0,1.3,SNAP,1.85,Other Nutrition Program,0.762,0.238,0.0,863410.0,2.51,0.276,860.0,0.967,0.033,2011
1517,MO,29069.0,0.2,6400.0,1.3,SNAP,1.85,Other Nutrition Program,0.646,0.286,0.068,2243260.0,2.15,0.286,2330.0,0.836,0.164,2011
1518,MO,29071.0,0.138,14020.0,1.3,SNAP,1.85,Other Nutrition Program,0.41,0.232,0.358,5531260.0,2.42,0.207,5250.0,0.726,0.274,2011
1519,MO,29073.0,0.137,2090.0,1.3,SNAP,1.85,Other Nutrition Program,0.49,0.236,0.274,831370.0,2.44,0.215,720.0,0.724,0.276,2011
1520,MO,29075.0,0.138,940.0,1.3,SNAP,1.85,Other Nutrition Program,0.599,0.278,0.123,373920.0,2.44,0.23,380.0,0.866,0.134,2011
1521,MO,29077.0,0.158,43220.0,1.3,SNAP,1.85,Other Nutrition Program,0.542,0.201,0.257,17826500.0,2.53,0.225,13010.0,0.727,0.273,2011
1522,MO,29079.0,0.138,1410.0,1.3,SNAP,1.85,Other Nutrition Program,0.603,0.301,0.097,553980.0,2.41,0.199,480.0,1.0,0.0,2011
1523,MO,29081.0,0.141,1260.0,1.3,SNAP,1.85,Other Nutrition Program,0.575,0.315,0.11,507370.0,2.47,0.212,460.0,0.971,0.029,2011
1524,MO,29083.0,0.158,3520.0,1.3,SNAP,1.85,Other Nutrition Program,0.549,0.249,0.202,1233790.0,2.15,0.242,1180.0,0.791,0.209,2011
1525,MO,29085.0,0.165,1580.0,1.3,SNAP,1.85,Other Nutrition Program,0.632,0.302,0.066,589870.0,2.29,0.259,440.0,0.962,0.038,2011
1526,MO,29087.0,0.128,630.0,1.3,SNAP,1.85,Other Nutrition Program,0.518,0.276,0.206,256770.0,2.5,0.215,210.0,0.84,0.16,2011
1527,MO,29089.0,0.138,1400.0,1.3,SNAP,1.85,Other Nutrition Program,0.464,0.182,0.353,593420.0,2.6,0.21,470.0,0.737,0.263,2011
1528,MO,29091.0,0.158,6340.0,1.3,SNAP,1.85,Other Nutrition Program,0.661,0.242,0.097,2315250.0,2.24,0.258,2570.0,0.843,0.157,2011
1529,MO,29093.0,0.172,1840.0,1.3,SNAP,1.85,Other Nutrition Program,0.633,0.232,0.135,731930.0,2.44,0.263,650.0,0.759,0.241,2011
1530,MO,29095.0,0.191,128180.0,1.3,SNAP,1.85,Other Nutrition Program,0.485,0.19,0.325,49316590.0,2.36,0.212,35050.0,0.653,0.347,2011
1531,MO,29097.0,0.157,18220.0,1.3,SNAP,1.85,Other Nutrition Program,0.606,0.228,0.167,6653610.0,2.24,0.242,7280.0,0.773,0.227,2011
1532,MO,29099.0,0.127,27600.0,1.3,SNAP,1.85,Other Nutrition Program,0.38,0.192,0.429,12373780.0,2.75,0.198,10880.0,0.623,0.377,2011
1533,MO,29101.0,0.161,8450.0,1.3,SNAP,1.85,Other Nutrition Program,0.482,0.18,0.338,3209770.0,2.33,0.22,2630.0,0.686,0.314,2011
1534,MO,29103.0,0.148,610.0,1.3,SNAP,1.85,Other Nutrition Program,0.787,0.173,0.041,228730.0,2.3,0.263,270.0,0.945,0.055,2011
1535,MO,29105.0,0.168,5960.0,1.3,SNAP,1.85,Other Nutrition Program,0.552,0.265,0.183,2147330.0,2.21,0.263,2360.0,0.833,0.167,2011
1536,MO,29107.0,0.144,4790.0,1.3,SNAP,1.85,Other Nutrition Program,0.393,0.2,0.407,2366130.0,3.03,0.2,1630.0,0.603,0.397,2011
1537,MO,29109.0,0.145,5580.0,1.3,SNAP,1.85,Other Nutrition Program,0.619,0.239,0.142,2328810.0,2.56,0.239,2430.0,0.83,0.17,2011
1538,MO,29111.0,0.139,1420.0,1.3,SNAP,1.85,Other Nutrition Program,0.54,0.216,0.244,534760.0,2.31,0.229,550.0,0.77,0.23,2011
1539,MO,29113.0,0.142,7420.0,1.3,SNAP,1.85,Other Nutrition Program,0.406,0.22,0.374,2818520.0,2.33,0.221,3260.0,0.664,0.336,2011
1540,MO,29115.0,0.158,2010.0,1.3,SNAP,1.85,Other Nutrition Program,0.535,0.213,0.252,750400.0,2.29,0.224,700.0,0.68,0.32,2011
1541,MO,29117.0,0.157,2360.0,1.3,SNAP,1.85,Other Nutrition Program,0.531,0.15,0.32,919540.0,2.39,0.257,860.0,0.692,0.308,2011
1542,MO,29119.0,0.148,3400.0,1.3,SNAP,1.85,Other Nutrition Program,0.644,0.276,0.08,1502140.0,2.71,0.238,1540.0,0.844,0.156,2011
1543,MO,29121.0,0.136,2120.0,1.3,SNAP,1.85,Other Nutrition Program,0.57,0.217,0.213,788010.0,2.28,0.198,750.0,0.828,0.172,2011
1544,MO,29123.0,0.159,1950.0,1.3,SNAP,1.85,Other Nutrition Program,0.645,0.265,0.09,785220.0,2.47,0.268,780.0,0.859,0.141,2011
1545,MO,29125.0,0.131,1200.0,1.3,SNAP,1.85,Other Nutrition Program,0.534,0.26,0.205,487130.0,2.49,0.214,470.0,0.786,0.214,2011
1546,MO,29127.0,0.149,4250.0,1.3,SNAP,1.85,Other Nutrition Program,0.506,0.286,0.208,1538160.0,2.22,0.207,1410.0,0.817,0.183,2011
1547,MO,29129.0,0.135,510.0,1.3,SNAP,1.85,Other Nutrition Program,0.603,0.285,0.112,192890.0,2.32,0.235,220.0,0.812,0.188,2011
1548,MO,29131.0,0.165,4080.0,1.3,SNAP,1.85,Other Nutrition Program,0.578,0.286,0.135,1968850.0,2.96,0.247,1510.0,0.912,0.088,2011
1549,MO,29133.0,0.216,3060.0,1.3,SNAP,1.85,Other Nutrition Program,0.728,0.272,0.0,1321990.0,2.65,0.262,830.0,0.96,0.04,2011
1550,MO,29135.0,0.135,2100.0,1.3,SNAP,1.85,Other Nutrition Program,0.4,0.277,0.323,903820.0,2.64,0.201,790.0,0.74,0.26,2011
1551,MO,29137.0,0.153,1380.0,1.3,SNAP,1.85,Other Nutrition Program,0.491,0.175,0.334,483700.0,2.15,0.231,500.0,0.638,0.362,2011
1552,MO,29139.0,0.155,1900.0,1.3,SNAP,1.85,Other Nutrition Program,0.543,0.255,0.202,718630.0,2.32,0.254,740.0,0.845,0.155,2011
1553,MO,29141.0,0.161,3310.0,1.3,SNAP,1.85,Other Nutrition Program,0.558,0.269,0.172,1386830.0,2.57,0.258,1150.0,0.863,0.137,2011
1554,MO,29143.0,0.195,3670.0,1.3,SNAP,1.85,Other Nutrition Program,0.593,0.236,0.171,1471840.0,2.46,0.248,1120.0,0.741,0.259,2011
1555,MO,29145.0,0.142,8200.0,1.3,SNAP,1.85,Other Nutrition Program,0.598,0.253,0.15,3235120.0,2.42,0.239,3530.0,0.834,0.166,2011
1556,MO,29147.0,0.175,4060.0,1.3,SNAP,1.85,Other Nutrition Program,0.579,0.088,0.332,1727540.0,2.61,0.203,880.0,0.543,0.457,2011
1557,MO,29149.0,0.166,1790.0,1.3,SNAP,1.85,Other Nutrition Program,0.793,0.178,0.028,685780.0,2.35,0.264,640.0,0.848,0.152,2011
1558,MO,29151.0,0.111,1530.0,1.3,SNAP,1.85,Other Nutrition Program,0.418,0.222,0.36,656010.0,2.63,0.168,580.0,0.608,0.392,2011
1559,MO,29153.0,0.148,1430.0,1.3,SNAP,1.85,Other Nutrition Program,0.66,0.291,0.049,585150.0,2.51,0.251,480.0,0.943,0.057,2011
1560,MO,29155.0,0.239,4410.0,1.3,SNAP,1.85,Other Nutrition Program,0.716,0.175,0.11,1754240.0,2.44,0.285,1470.0,0.68,0.32,2011
1561,MO,29157.0,0.119,2270.0,1.3,SNAP,1.85,Other Nutrition Program,0.536,0.227,0.237,928880.0,2.51,0.195,920.0,0.733,0.267,2011
1562,MO,29159.0,0.15,6280.0,1.3,SNAP,1.85,Other Nutrition Program,0.621,0.255,0.124,2303580.0,2.25,0.222,2390.0,0.933,0.067,2011
1563,MO,29161.0,0.158,7060.0,1.3,SNAP,1.85,Other Nutrition Program,0.538,0.218,0.244,2670260.0,2.32,0.206,2010.0,0.751,0.249,2011
1564,MO,29163.0,0.151,2800.0,1.3,SNAP,1.85,Other Nutrition Program,0.501,0.228,0.27,1054460.0,2.31,0.224,940.0,0.859,0.141,2011
1565,MO,29165.0,0.132,11660.0,1.3,SNAP,1.85,Other Nutrition Program,0.288,0.159,0.553,5607660.0,2.95,0.17,3690.0,0.505,0.495,2011
1566,MO,29167.0,0.161,4980.0,1.3,SNAP,1.85,Other Nutrition Program,0.591,0.187,0.222,1704940.0,2.1,0.257,1950.0,0.708,0.292,2011
1567,MO,29169.0,0.174,8770.0,1.3,SNAP,1.85,Other Nutrition Program,0.4,0.227,0.374,3474290.0,2.43,0.216,2570.0,0.766,0.234,2011
1568,MO,29171.0,0.142,710.0,1.3,SNAP,1.85,Other Nutrition Program,0.587,0.321,0.093,256960.0,2.22,0.206,260.0,0.862,0.138,2011
1569,MO,29173.0,0.117,1190.0,1.3,SNAP,1.85,Other Nutrition Program,0.406,0.311,0.283,442330.0,2.28,0.188,430.0,0.763,0.237,2011
1570,MO,29175.0,0.166,4220.0,1.3,SNAP,1.85,Other Nutrition Program,0.595,0.239,0.167,1513550.0,2.2,0.247,1450.0,0.916,0.084,2011
1571,MO,29177.0,0.136,3200.0,1.3,SNAP,1.85,Other Nutrition Program,0.348,0.205,0.447,1366820.0,2.62,0.2,1190.0,0.598,0.402,2011
1572,MO,29179.0,0.191,1280.0,1.3,SNAP,1.85,Other Nutrition Program,0.598,0.18,0.222,532120.0,2.55,0.32,490.0,0.672,0.328,2011
1573,MO,29181.0,0.176,2470.0,1.3,SNAP,1.85,Other Nutrition Program,0.731,0.269,0.0,938240.0,2.33,0.311,1040.0,1.0,0.0,2011
1574,MO,29183.0,0.109,38830.0,1.3,SNAP,1.85,Other Nutrition Program,0.227,0.16,0.613,16775440.0,2.65,0.146,13490.0,0.415,0.585,2011
1575,MO,29185.0,0.16,1560.0,1.3,SNAP,1.85,Other Nutrition Program,0.554,0.332,0.114,556970.0,2.19,0.239,470.0,0.861,0.139,2011
1576,MO,29186.0,0.132,2400.0,1.3,SNAP,1.85,Other Nutrition Program,0.435,0.204,0.361,1021200.0,2.61,0.211,880.0,0.64,0.36,2011
1577,MO,29187.0,0.171,11090.0,1.3,SNAP,1.85,Other Nutrition Program,0.494,0.191,0.315,4321060.0,2.39,0.25,3480.0,0.734,0.266,2011
1578,MO,29189.0,0.158,157500.0,1.3,SNAP,1.85,Other Nutrition Program,0.335,0.177,0.488,70354500.0,2.74,0.154,36210.0,0.575,0.425,2011
1579,MO,29195.0,0.158,3660.0,1.3,SNAP,1.85,Other Nutrition Program,0.599,0.169,0.233,1270930.0,2.13,0.25,1330.0,0.748,0.252,2011
1580,MO,29197.0,0.165,730.0,1.3,SNAP,1.85,Other Nutrition Program,0.692,0.145,0.163,268960.0,2.26,0.284,290.0,0.7,0.3,2011
1581,MO,29199.0,0.14,680.0,1.3,SNAP,1.85,Other Nutrition Program,0.679,0.23,0.091,264950.0,2.39,0.227,300.0,0.908,0.092,2011
1582,MO,29201.0,0.168,6580.0,1.3,SNAP,1.85,Other Nutrition Program,0.554,0.293,0.152,3196710.0,2.98,0.216,2160.0,0.83,0.17,2011
1583,MO,29203.0,0.185,1560.0,1.3,SNAP,1.85,Other Nutrition Program,0.643,0.279,0.078,592570.0,2.33,0.304,600.0,0.98,0.02,2011
1584,MO,29205.0,0.146,930.0,1.3,SNAP,1.85,Other Nutrition Program,0.624,0.262,0.115,338100.0,2.23,0.218,340.0,0.78,0.22,2011
1585,MO,29207.0,0.158,4730.0,1.3,SNAP,1.85,Other Nutrition Program,0.624,0.269,0.106,2028050.0,2.63,0.237,1620.0,0.894,0.106,2011
1586,MO,29209.0,0.169,5430.0,1.3,SNAP,1.85,Other Nutrition Program,0.558,0.181,0.261,2310470.0,2.61,0.304,1860.0,0.809,0.191,2011
1587,MO,29211.0,0.143,960.0,1.3,SNAP,1.85,Other Nutrition Program,0.689,0.272,0.039,369360.0,2.36,0.242,390.0,0.884,0.116,2011
1588,MO,29213.0,0.176,8920.0,1.3,SNAP,1.85,Other Nutrition Program,0.544,0.205,0.25,3795480.0,2.61,0.285,3190.0,0.781,0.219,2011
1589,MO,29215.0,0.161,4160.0,1.3,SNAP,1.85,Other Nutrition Program,0.633,0.213,0.155,1736180.0,2.56,0.247,1450.0,0.878,0.122,2011
1590,MO,29217.0,0.154,3230.0,1.3,SNAP,1.85,Other Nutrition Program,0.607,0.207,0.187,1342780.0,2.55,0.272,1450.0,0.742,0.258,2011
1591,MO,29219.0,0.137,4400.0,1.3,SNAP,1.85,Other Nutrition Program,0.434,0.187,0.379,1893730.0,2.64,0.227,1820.0,0.628,0.372,2011
1592,MO,29221.0,0.181,4530.0,1.3,SNAP,1.85,Other Nutrition Program,0.625,0.208,0.167,1905370.0,2.58,0.288,1750.0,0.863,0.137,2011
1593,MO,29223.0,0.167,2250.0,1.3,SNAP,1.85,Other Nutrition Program,0.708,0.288,0.003,865680.0,2.36,0.248,700.0,1.0,0.0,2011
1594,MO,29225.0,0.144,5180.0,1.3,SNAP,1.85,Other Nutrition Program,0.579,0.251,0.169,2204100.0,2.61,0.232,2310.0,0.89,0.11,2011
1595,MO,29227.0,0.134,290.0,1.3,SNAP,1.85,Other Nutrition Program,0.553,0.327,0.12,119610.0,2.53,0.225,100.0,0.923,0.077,2011
1596,MO,29229.0,0.177,3330.0,1.3,SNAP,1.85,Other Nutrition Program,0.78,0.213,0.007,1281200.0,2.36,0.305,1490.0,0.843,0.157,2011
1597,MO,29510.0,0.273,86940.0,1.3,SNAP,1.85,Other Nutrition Program,0.595,0.232,0.173,37276590.0,2.63,0.236,16410.0,0.619,0.381,2011
1598,MT,30001.0,0.139,1270.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.718,0.0,0.282,559020.0,2.7,0.18,330.0,0.71,0.29,2011
1599,MT,30003.0,0.203,2600.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.811,0.0,0.189,1140210.0,2.69,0.311,1320.0,0.82,0.18,2011
1600,MT,30005.0,0.171,1110.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.815,0.0,0.185,532020.0,2.94,0.284,560.0,0.706,0.294,2011
1601,MT,30007.0,0.131,720.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.748,0.0,0.252,311060.0,2.65,0.176,260.0,0.974,0.026,2011
1602,MT,30009.0,0.123,1240.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.617,0.0,0.383,547840.0,2.71,0.184,370.0,0.563,0.437,2011
1603,MT,30011.0,0.114,140.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.924,0.0,0.076,61850.0,2.71,0.17,40.0,1.0,0.0,2011
1604,MT,30013.0,0.137,11060.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.632,0.0,0.368,4742110.0,2.63,0.206,3850.0,0.594,0.406,2011
1605,MT,30015.0,0.145,840.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.762,0.0,0.238,368380.0,2.69,0.242,380.0,0.747,0.253,2011
1606,MT,30017.0,0.125,1450.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.665,0.0,0.335,697350.0,2.95,0.175,450.0,0.547,0.453,2011
1607,MT,30019.0,0.114,200.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.607,0.0,0.393,103030.0,3.16,0.197,60.0,0.664,0.336,2011
1608,MT,30021.0,0.107,960.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.505,0.0,0.495,466390.0,2.98,0.175,310.0,0.544,0.456,2011
1609,MT,30023.0,0.161,1500.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.709,0.0,0.291,667600.0,2.73,0.245,450.0,0.587,0.413,2011
1610,MT,30025.0,0.094,270.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.639,0.0,0.361,126770.0,2.88,0.153,100.0,0.457,0.543,2011
1611,MT,30027.0,0.136,1560.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.687,0.0,0.313,684130.0,2.69,0.227,520.0,0.623,0.377,2011
1612,MT,30029.0,0.158,14250.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.62,0.0,0.38,5761390.0,2.48,0.232,4970.0,0.652,0.348,2011
1613,MT,30031.0,0.14,12520.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.556,0.0,0.444,5347690.0,2.62,0.172,3190.0,0.543,0.457,2011
1614,MT,30033.0,0.101,120.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.816,0.0,0.184,53410.0,2.73,0.136,40.0,0.823,0.177,2011
1615,MT,30035.0,0.21,2800.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.76,0.0,0.24,1159450.0,2.54,0.31,1300.0,0.748,0.252,2011
1616,MT,30037.0,0.132,120.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.686,0.0,0.314,52820.0,2.7,0.263,60.0,0.662,0.338,2011
1617,MT,30039.0,0.152,460.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.662,0.0,0.338,204730.0,2.73,0.195,110.0,0.564,0.436,2011
1618,MT,30041.0,0.143,2300.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.629,0.0,0.371,1064900.0,2.84,0.222,960.0,0.623,0.377,2011
1619,MT,30043.0,0.1,1130.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.538,0.0,0.462,490030.0,2.66,0.144,380.0,0.49,0.51,2011
1620,MT,30045.0,0.114,230.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.763,0.0,0.237,98620.0,2.63,0.182,70.0,0.591,0.409,2011
1621,MT,30047.0,0.181,5170.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.768,0.0,0.232,2697130.0,3.2,0.305,2200.0,0.762,0.238,2011
1622,MT,30049.0,0.117,7320.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.502,0.0,0.498,3126610.0,2.62,0.156,2230.0,0.453,0.547,2011
1623,MT,30051.0,0.151,350.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.628,0.0,0.372,152350.0,2.67,0.244,120.0,0.557,0.443,2011
1624,MT,30053.0,0.2,3910.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.717,0.0,0.283,1612720.0,2.53,0.315,1210.0,0.64,0.36,2011
1625,MT,30055.0,0.091,170.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.691,0.0,0.309,84810.0,3.06,0.134,60.0,0.984,0.016,2011
1626,MT,30057.0,0.13,1000.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.643,0.0,0.357,438540.0,2.69,0.196,270.0,0.509,0.491,2011
1627,MT,30059.0,0.164,310.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.827,0.0,0.173,134430.0,2.66,0.241,110.0,0.755,0.245,2011
1628,MT,30061.0,0.172,720.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.669,0.0,0.331,305190.0,2.6,0.279,240.0,0.628,0.372,2011
1629,MT,30063.0,0.155,16820.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.662,0.0,0.338,7376310.0,2.69,0.19,4130.0,0.561,0.439,2011
1630,MT,30065.0,0.135,600.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.696,0.0,0.304,263130.0,2.69,0.223,190.0,0.653,0.347,2011
1631,MT,30067.0,0.134,2110.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.73,0.0,0.27,921890.0,2.68,0.195,610.0,0.714,0.286,2011
1632,MT,30069.0,0.149,80.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",1.0,0.0,0.0,35080.0,2.69,0.226,30.0,0.976,0.024,2011
1633,MT,30071.0,0.118,500.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.763,0.0,0.237,241280.0,2.96,0.166,160.0,0.824,0.176,2011
1634,MT,30073.0,0.147,910.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.716,0.0,0.284,378310.0,2.55,0.2,300.0,0.725,0.275,2011
1635,MT,30075.0,0.125,210.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.724,0.0,0.276,94830.0,2.77,0.174,60.0,0.659,0.341,2011
1636,MT,30077.0,0.146,1030.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.565,0.0,0.435,443300.0,2.64,0.25,300.0,0.591,0.409,2011
1637,MT,30079.0,0.114,120.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.723,0.0,0.277,59280.0,3.03,0.194,30.0,0.883,0.117,2011
1638,MT,30081.0,0.146,5890.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.655,0.0,0.345,3351210.0,3.49,0.226,2030.0,0.62,0.38,2011
1639,MT,30083.0,0.111,1070.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.549,0.0,0.451,511110.0,2.93,0.178,410.0,0.503,0.497,2011
1640,MT,30085.0,0.176,1820.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.743,0.0,0.257,899030.0,3.03,0.254,830.0,0.742,0.258,2011
1641,MT,30087.0,0.153,1410.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.743,0.0,0.257,620650.0,2.7,0.229,640.0,0.691,0.309,2011
1642,MT,30089.0,0.198,2260.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.809,0.0,0.191,954260.0,2.59,0.306,720.0,0.741,0.259,2011
1643,MT,30091.0,0.11,380.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.632,0.0,0.368,183370.0,2.96,0.141,100.0,0.712,0.288,2011
1644,MT,30093.0,0.145,4920.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.697,0.0,0.303,2334100.0,2.91,0.206,1490.0,0.657,0.343,2011
1645,MT,30095.0,0.115,1040.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.571,0.0,0.429,459480.0,2.71,0.173,350.0,0.565,0.435,2011
1646,MT,30097.0,0.102,380.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.732,0.0,0.268,164790.0,2.66,0.156,130.0,0.751,0.249,2011
1647,MT,30099.0,0.122,740.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.745,0.0,0.255,314870.0,2.61,0.176,250.0,0.718,0.282,2011
